train_number,station_code,timestamp,scheduled_arrival,scheduled_departure,actual_arrival,speed_kmph,signal_aspect,rolling_stock_health,weather_condition
12285,MGS,2025-09-18 03:01:00,2025-09-18 03:05:00,2025-09-18 03:11:00,2025-09-18 03:33:00,44.9,GREEN,0.97,clear
12554,HWH,2025-09-03 00:22:00,2025-09-03 00:23:00,2025-09-03 00:33:00,2025-09-03 00:29:00,59.6,YELLOW,0.91,fog
12513,BCT,2025-09-17 16:48:00,2025-09-17 16:53:00,2025-09-17 17:02:00,2025-09-17 17:19:00,36.8,GREEN,0.97,clear
12562,NDLS,2025-09-06 06:19:00,2025-09-06 06:24:00,2025-09-06 06:28:00,2025-09-06 06:39:00,45.9,YELLOW,0.96,storm
12275,SDAH,2025-09-19 09:24:00,2025-09-19 09:29:00,2025-09-19 09:33:00,2025-09-19 09:50:00,41.0,GREEN,0.94,storm
12911,CNB,2025-09-05 02:16:00,2025-09-05 02:20:00,2025-09-05 02:26:00,2025-09-05 02:38:00,56.7,YELLOW,0.86,storm
12304,BCT,2025-09-05 20:58:00,2025-09-05 20:59:00,2025-09-05 21:06:00,2025-09-05 21:22:00,43.2,GREEN,0.88,rain
12221,NDLS,2025-09-05 17:42:00,2025-09-05 17:46:00,2025-09-05 17:53:00,2025-09-05 17:55:00,44.4,YELLOW,0.95,fog
12931,MGS,2025-09-09 05:33:00,2025-09-09 05:35:00,2025-09-09 05:44:00,2025-09-09 05:47:00,42.9,RED,0.91,storm
12637,NDLS,2025-09-02 21:45:00,2025-09-02 21:47:00,2025-09-02 21:57:00,2025-09-02 22:01:00,54.2,GREEN,0.89,fog
12469,MGS,2025-09-01 13:21:00,2025-09-01 13:26:00,2025-09-01 13:33:00,2025-09-01 13:52:00,44.2,RED,0.98,storm
12315,ST,2025-09-06 17:24:00,2025-09-06 17:28:00,2025-09-06 17:31:00,2025-09-06 17:27:00,49.4,RED,0.91,fog
12744,SDAH,2025-09-11 20:27:00,2025-09-11 20:30:00,2025-09-11 20:38:00,2025-09-11 20:35:00,46.9,GREEN,0.94,rain
12787,NDLS,2025-09-04 10:53:00,2025-09-04 10:58:00,2025-09-04 11:04:00,2025-09-04 10:56:00,40.9,YELLOW,0.9,rain
12937,PNBE,2025-09-01 13:16:00,2025-09-01 13:21:00,2025-09-01 13:29:00,2025-09-01 13:21:00,58.8,GREEN,0.92,rain
12126,CNB,2025-09-07 17:39:00,2025-09-07 17:43:00,2025-09-07 17:52:00,2025-09-07 17:42:00,45.0,RED,0.86,clear
12064,ST,2025-09-20 20:39:00,2025-09-20 20:42:00,2025-09-20 20:49:00,2025-09-20 20:42:00,50.6,GREEN,0.89,fog
12288,ST,2025-09-19 10:17:00,2025-09-19 10:20:00,2025-09-19 10:23:00,2025-09-19 10:36:00,53.1,YELLOW,0.84,fog
12514,MGS,2025-09-03 13:25:00,2025-09-03 13:28:00,2025-09-03 13:36:00,2025-09-03 13:38:00,57.2,YELLOW,0.9,fog
12348,BCT,2025-09-11 04:36:00,2025-09-11 04:41:00,2025-09-11 04:50:00,2025-09-11 05:01:00,43.8,GREEN,0.91,storm
12209,BCT,2025-09-08 01:29:00,2025-09-08 01:33:00,2025-09-08 01:38:00,2025-09-08 01:55:00,57.1,GREEN,0.91,fog
12513,SDAH,2025-09-17 00:43:00,2025-09-17 00:45:00,2025-09-17 00:52:00,2025-09-17 01:11:00,49.1,RED,0.94,rain
12456,BCT,2025-09-07 20:43:00,2025-09-07 20:46:00,2025-09-07 20:55:00,2025-09-07 21:03:00,46.7,RED,0.92,rain
12901,BCT,2025-09-05 08:41:00,2025-09-05 08:42:00,2025-09-05 08:49:00,2025-09-05 08:47:00,36.6,RED,0.88,fog
12905,PNBE,2025-09-15 03:48:00,2025-09-15 03:51:00,2025-09-15 03:59:00,2025-09-15 04:17:00,35.7,YELLOW,0.9,storm
12065,CNB,2025-09-14 01:48:00,2025-09-14 01:52:00,2025-09-14 02:01:00,2025-09-14 01:57:00,45.0,RED,0.87,storm
12543,VAPI,2025-09-07 08:51:00,2025-09-07 08:52:00,2025-09-07 09:00:00,2025-09-07 08:52:00,43.2,RED,0.88,fog
12773,NDLS,2025-09-02 15:39:00,2025-09-02 15:44:00,2025-09-02 15:51:00,2025-09-02 16:01:00,35.4,RED,0.87,fog
12390,VAPI,2025-09-19 20:45:00,2025-09-19 20:46:00,2025-09-19 20:50:00,2025-09-19 20:49:00,37.8,YELLOW,0.89,rain
12648,SDAH,2025-09-18 16:08:00,2025-09-18 16:12:00,2025-09-18 16:22:00,2025-09-18 16:17:00,61.1,YELLOW,0.91,fog
12666,VAPI,2025-09-17 17:11:00,2025-09-17 17:15:00,2025-09-17 17:24:00,2025-09-17 17:41:00,61.3,RED,0.93,rain
12379,BCT,2025-09-08 15:01:00,2025-09-08 15:02:00,2025-09-08 15:12:00,2025-09-08 15:14:00,35.6,RED,0.96,fog
12684,HWH,2025-09-20 14:38:00,2025-09-20 14:42:00,2025-09-20 14:51:00,2025-09-20 14:50:00,25.4,RED,0.83,fog
12410,PNBE,2025-09-10 11:54:00,2025-09-10 11:55:00,2025-09-10 12:01:00,2025-09-10 12:14:00,44.4,GREEN,0.9,fog
12393,PNBE,2025-09-05 05:07:00,2025-09-05 05:11:00,2025-09-05 05:17:00,2025-09-05 05:35:00,67.9,RED,0.87,clear
12487,NDLS,2025-09-19 18:38:00,2025-09-19 18:39:00,2025-09-19 18:45:00,2025-09-19 19:04:00,52.0,GREEN,0.86,rain
12829,ST,2025-09-02 03:38:00,2025-09-02 03:42:00,2025-09-02 03:47:00,2025-09-02 03:53:00,47.0,YELLOW,0.92,storm
12773,PNBE,2025-09-04 14:31:00,2025-09-04 14:36:00,2025-09-04 14:39:00,2025-09-04 14:58:00,34.1,GREEN,0.83,clear
12665,ALD,2025-09-17 13:13:00,2025-09-17 13:18:00,2025-09-17 13:23:00,2025-09-17 13:23:00,36.0,YELLOW,0.84,rain
12692,VAPI,2025-09-09 03:13:00,2025-09-09 03:18:00,2025-09-09 03:21:00,2025-09-09 03:42:00,46.1,GREEN,0.97,rain
12326,BCT,2025-09-10 00:52:00,2025-09-10 00:53:00,2025-09-10 01:01:00,2025-09-10 01:08:00,50.6,RED,0.84,storm
12060,ALD,2025-09-17 10:27:00,2025-09-17 10:32:00,2025-09-17 10:35:00,2025-09-17 10:46:00,54.1,GREEN,0.91,rain
12348,MGS,2025-09-18 13:08:00,2025-09-18 13:11:00,2025-09-18 13:17:00,2025-09-18 13:35:00,48.8,GREEN,0.89,rain
12802,ST,2025-09-09 22:53:00,2025-09-09 22:54:00,2025-09-09 22:58:00,2025-09-09 23:01:00,36.7,GREEN,0.89,rain
12811,VAPI,2025-09-11 00:59:00,2025-09-11 01:02:00,2025-09-11 01:07:00,2025-09-11 01:31:00,40.2,RED,0.79,rain
12841,ST,2025-09-02 01:02:00,2025-09-02 01:06:00,2025-09-02 01:12:00,2025-09-02 01:28:00,21.8,YELLOW,0.98,storm
12096,VAPI,2025-09-17 08:23:00,2025-09-17 08:27:00,2025-09-17 08:33:00,2025-09-17 08:34:00,47.8,YELLOW,0.97,storm
12677,ALD,2025-09-17 18:28:00,2025-09-17 18:32:00,2025-09-17 18:38:00,2025-09-17 19:00:00,35.2,YELLOW,0.87,clear
12313,BCT,2025-09-10 10:43:00,2025-09-10 10:48:00,2025-09-10 10:55:00,2025-09-10 10:48:00,44.5,GREEN,0.8,clear
12964,BCT,2025-09-20 15:46:00,2025-09-20 15:47:00,2025-09-20 15:52:00,2025-09-20 15:51:00,57.4,RED,0.94,rain
12358,ST,2025-09-19 06:15:00,2025-09-19 06:17:00,2025-09-19 06:21:00,2025-09-19 06:39:00,38.3,GREEN,0.94,fog
12546,CNB,2025-09-01 17:08:00,2025-09-01 17:12:00,2025-09-01 17:22:00,2025-09-01 17:14:00,48.8,GREEN,0.9,rain
12493,MGS,2025-09-19 11:46:00,2025-09-19 11:48:00,2025-09-19 11:56:00,2025-09-19 12:15:00,47.6,RED,0.93,storm
12485,ST,2025-09-02 15:55:00,2025-09-02 16:00:00,2025-09-02 16:09:00,2025-09-02 16:11:00,52.8,RED,0.85,clear
12655,PNBE,2025-09-06 05:36:00,2025-09-06 05:37:00,2025-09-06 05:47:00,2025-09-06 05:58:00,35.9,GREEN,0.92,storm
12270,PNBE,2025-09-20 14:10:00,2025-09-20 14:15:00,2025-09-20 14:22:00,2025-09-20 14:38:00,48.9,YELLOW,0.95,storm
12527,PNBE,2025-09-04 14:48:00,2025-09-04 14:52:00,2025-09-04 14:59:00,2025-09-04 14:53:00,36.6,GREEN,0.96,storm
12278,MGS,2025-09-17 09:11:00,2025-09-17 09:15:00,2025-09-17 09:20:00,2025-09-17 09:30:00,48.6,GREEN,0.88,fog
12794,HWH,2025-09-05 02:23:00,2025-09-05 02:27:00,2025-09-05 02:35:00,2025-09-05 02:56:00,43.1,GREEN,0.86,rain
12836,SDAH,2025-09-14 17:17:00,2025-09-14 17:19:00,2025-09-14 17:23:00,2025-09-14 17:48:00,52.8,GREEN,0.89,clear
12465,VAPI,2025-09-16 08:11:00,2025-09-16 08:14:00,2025-09-16 08:17:00,2025-09-16 08:36:00,43.6,YELLOW,0.85,clear
12635,ST,2025-09-12 16:03:00,2025-09-12 16:04:00,2025-09-12 16:07:00,2025-09-12 16:19:00,52.7,RED,0.87,rain
12338,HWH,2025-09-13 23:32:00,2025-09-13 23:35:00,2025-09-13 23:44:00,2025-09-13 23:54:00,47.5,YELLOW,0.88,clear
12879,NDLS,2025-09-03 12:37:00,2025-09-03 12:38:00,2025-09-03 12:47:00,2025-09-03 13:00:00,45.6,RED,0.95,rain
12560,CNB,2025-09-19 00:29:00,2025-09-19 00:32:00,2025-09-19 00:35:00,2025-09-19 00:31:00,41.5,GREEN,0.84,rain
12059,VAPI,2025-09-13 13:05:00,2025-09-13 13:06:00,2025-09-13 13:13:00,2025-09-13 13:15:00,48.9,YELLOW,0.89,fog
12998,PNBE,2025-09-17 14:54:00,2025-09-17 14:55:00,2025-09-17 15:04:00,2025-09-17 15:06:00,45.4,RED,0.96,clear
12412,ST,2025-09-17 12:52:00,2025-09-17 12:57:00,2025-09-17 13:06:00,2025-09-17 12:59:00,41.7,GREEN,1.0,fog
12541,NDLS,2025-09-19 23:26:00,2025-09-19 23:29:00,2025-09-19 23:33:00,2025-09-19 23:27:00,36.3,GREEN,0.81,clear
12771,MGS,2025-09-02 09:14:00,2025-09-02 09:17:00,2025-09-02 09:23:00,2025-09-02 09:25:00,54.5,YELLOW,0.78,storm
12671,MGS,2025-09-13 05:39:00,2025-09-13 05:42:00,2025-09-13 05:46:00,2025-09-13 06:06:00,40.9,GREEN,0.87,rain
12620,CNB,2025-09-19 16:06:00,2025-09-19 16:08:00,2025-09-19 16:16:00,2025-09-19 16:15:00,37.3,RED,0.85,fog
12059,MGS,2025-09-04 07:35:00,2025-09-04 07:37:00,2025-09-04 07:45:00,2025-09-04 07:56:00,35.5,YELLOW,0.95,fog
12742,NDLS,2025-09-01 18:12:00,2025-09-01 18:13:00,2025-09-01 18:18:00,2025-09-01 18:20:00,30.1,GREEN,0.88,clear
12396,ALD,2025-09-02 09:40:00,2025-09-02 09:43:00,2025-09-02 09:49:00,2025-09-02 10:04:00,31.6,RED,0.92,fog
12984,MGS,2025-09-05 13:50:00,2025-09-05 13:53:00,2025-09-05 13:56:00,2025-09-05 14:07:00,35.7,YELLOW,0.9,rain
12962,PNBE,2025-09-06 23:11:00,2025-09-06 23:13:00,2025-09-06 23:17:00,2025-09-06 23:26:00,38.8,YELLOW,0.79,rain
12819,SDAH,2025-09-05 06:05:00,2025-09-05 06:09:00,2025-09-05 06:15:00,2025-09-05 06:09:00,47.9,GREEN,0.97,storm
12250,CNB,2025-09-13 07:56:00,2025-09-13 07:58:00,2025-09-13 08:07:00,2025-09-13 08:17:00,39.1,GREEN,0.89,clear
12882,PNBE,2025-09-14 07:08:00,2025-09-14 07:10:00,2025-09-14 07:19:00,2025-09-14 07:16:00,42.1,RED,0.86,storm
12477,ALD,2025-09-11 22:44:00,2025-09-11 22:46:00,2025-09-11 22:55:00,2025-09-11 22:49:00,32.9,YELLOW,0.89,fog
12181,MGS,2025-09-08 02:09:00,2025-09-08 02:10:00,2025-09-08 02:13:00,2025-09-08 02:09:00,49.1,GREEN,0.94,fog
12090,ALD,2025-09-09 01:31:00,2025-09-09 01:35:00,2025-09-09 01:40:00,2025-09-09 01:46:00,50.0,RED,0.88,storm
12804,ST,2025-09-13 02:31:00,2025-09-13 02:36:00,2025-09-13 02:44:00,2025-09-13 02:43:00,41.3,GREEN,0.9,fog
12355,ST,2025-09-08 07:42:00,2025-09-08 07:43:00,2025-09-08 07:48:00,2025-09-08 08:07:00,41.7,RED,0.88,clear
12364,MGS,2025-09-07 19:35:00,2025-09-07 19:38:00,2025-09-07 19:45:00,2025-09-07 19:57:00,40.2,RED,0.86,clear
12431,CNB,2025-09-10 20:29:00,2025-09-10 20:31:00,2025-09-10 20:34:00,2025-09-10 20:42:00,46.8,RED,0.87,rain
12301,SDAH,2025-09-16 11:30:00,2025-09-16 11:35:00,2025-09-16 11:38:00,2025-09-16 11:57:00,53.6,YELLOW,1.0,storm
12025,ST,2025-09-09 05:17:00,2025-09-09 05:21:00,2025-09-09 05:31:00,2025-09-09 05:46:00,21.3,YELLOW,0.88,fog
12463,MGS,2025-09-10 22:59:00,2025-09-10 23:03:00,2025-09-10 23:13:00,2025-09-10 23:12:00,60.1,RED,0.87,clear
12801,HWH,2025-09-17 12:17:00,2025-09-17 12:18:00,2025-09-17 12:24:00,2025-09-17 12:40:00,38.7,YELLOW,0.89,fog
12019,PNBE,2025-09-11 09:07:00,2025-09-11 09:12:00,2025-09-11 09:18:00,2025-09-11 09:38:00,41.8,RED,0.96,storm
12025,SDAH,2025-09-08 09:06:00,2025-09-08 09:11:00,2025-09-08 09:14:00,2025-09-08 09:38:00,25.6,RED,0.84,clear
12071,ST,2025-09-13 11:34:00,2025-09-13 11:35:00,2025-09-13 11:44:00,2025-09-13 12:01:00,50.1,YELLOW,0.89,clear
12033,VAPI,2025-09-02 16:21:00,2025-09-02 16:25:00,2025-09-02 16:28:00,2025-09-02 16:31:00,41.2,YELLOW,0.93,rain
12156,ST,2025-09-01 11:27:00,2025-09-01 11:29:00,2025-09-01 11:35:00,2025-09-01 11:30:00,62.5,GREEN,0.96,fog
12313,VAPI,2025-09-18 11:08:00,2025-09-18 11:13:00,2025-09-18 11:20:00,2025-09-18 11:23:00,40.3,RED,0.79,storm
12557,NDLS,2025-09-17 11:54:00,2025-09-17 11:57:00,2025-09-17 12:05:00,2025-09-17 12:08:00,59.8,YELLOW,0.96,storm
12830,VAPI,2025-09-15 02:43:00,2025-09-15 02:48:00,2025-09-15 02:53:00,2025-09-15 02:58:00,38.1,YELLOW,0.97,storm
12497,ST,2025-09-01 16:10:00,2025-09-01 16:14:00,2025-09-01 16:20:00,2025-09-01 16:31:00,38.6,RED,0.97,storm
12840,PNBE,2025-09-08 13:14:00,2025-09-08 13:15:00,2025-09-08 13:22:00,2025-09-08 13:39:00,43.2,RED,0.89,fog
12651,NDLS,2025-09-06 10:30:00,2025-09-06 10:35:00,2025-09-06 10:44:00,2025-09-06 10:40:00,42.1,YELLOW,0.94,fog
12924,HWH,2025-09-02 15:00:00,2025-09-02 15:05:00,2025-09-02 15:11:00,2025-09-02 15:28:00,65.1,GREEN,0.93,storm
12178,MGS,2025-09-02 06:44:00,2025-09-02 06:46:00,2025-09-02 06:55:00,2025-09-02 06:47:00,47.5,RED,0.87,clear
12965,ST,2025-09-19 10:49:00,2025-09-19 10:54:00,2025-09-19 11:03:00,2025-09-19 10:52:00,52.1,RED,0.85,storm
12192,VAPI,2025-09-01 17:25:00,2025-09-01 17:28:00,2025-09-01 17:34:00,2025-09-01 17:44:00,33.1,GREEN,0.93,storm
12223,ALD,2025-09-09 08:11:00,2025-09-09 08:14:00,2025-09-09 08:17:00,2025-09-09 08:28:00,42.7,GREEN,0.81,storm
12136,MGS,2025-09-08 06:59:00,2025-09-08 07:02:00,2025-09-08 07:09:00,2025-09-08 07:18:00,56.1,RED,0.93,storm
12190,ST,2025-09-14 05:11:00,2025-09-14 05:16:00,2025-09-14 05:25:00,2025-09-14 05:40:00,43.0,YELLOW,0.82,clear
12225,BCT,2025-09-21 03:05:00,2025-09-21 03:07:00,2025-09-21 03:16:00,2025-09-21 03:20:00,25.4,GREEN,0.86,fog
12973,ALD,2025-09-12 22:05:00,2025-09-12 22:10:00,2025-09-12 22:20:00,2025-09-12 22:13:00,43.0,RED,1.0,fog
12986,SDAH,2025-09-06 22:06:00,2025-09-06 22:09:00,2025-09-06 22:14:00,2025-09-06 22:37:00,48.2,YELLOW,0.95,storm
12481,ST,2025-09-14 23:43:00,2025-09-14 23:46:00,2025-09-14 23:55:00,2025-09-15 00:09:00,42.8,YELLOW,0.91,fog
12211,MGS,2025-09-17 08:20:00,2025-09-17 08:24:00,2025-09-17 08:34:00,2025-09-17 08:36:00,50.7,RED,0.89,clear
12102,VAPI,2025-09-13 01:12:00,2025-09-13 01:14:00,2025-09-13 01:18:00,2025-09-13 01:24:00,56.8,GREEN,0.94,clear
12285,CNB,2025-09-16 13:42:00,2025-09-16 13:44:00,2025-09-16 13:51:00,2025-09-16 13:57:00,59.4,RED,0.89,rain
12361,SDAH,2025-09-17 12:28:00,2025-09-17 12:31:00,2025-09-17 12:35:00,2025-09-17 12:55:00,51.8,GREEN,0.9,rain
12842,ST,2025-09-13 07:56:00,2025-09-13 08:01:00,2025-09-13 08:06:00,2025-09-13 08:10:00,56.8,GREEN,0.85,fog
12736,CNB,2025-09-09 23:03:00,2025-09-09 23:05:00,2025-09-09 23:08:00,2025-09-09 23:17:00,38.5,GREEN,0.94,storm
12132,ST,2025-09-02 01:49:00,2025-09-02 01:52:00,2025-09-02 01:56:00,2025-09-02 02:00:00,20.0,GREEN,0.84,storm
12645,ST,2025-09-09 02:41:00,2025-09-09 02:43:00,2025-09-09 02:48:00,2025-09-09 02:51:00,43.3,YELLOW,0.96,storm
12909,ALD,2025-09-05 01:14:00,2025-09-05 01:17:00,2025-09-05 01:27:00,2025-09-05 01:17:00,36.4,GREEN,0.85,storm
12443,NDLS,2025-09-11 16:32:00,2025-09-11 16:34:00,2025-09-11 16:41:00,2025-09-11 16:57:00,53.4,GREEN,0.87,clear
12953,VAPI,2025-09-07 20:19:00,2025-09-07 20:24:00,2025-09-07 20:31:00,2025-09-07 20:26:00,38.2,RED,0.92,clear
12227,ALD,2025-09-17 10:58:00,2025-09-17 11:01:00,2025-09-17 11:07:00,2025-09-17 11:03:00,33.2,RED,0.97,clear
12565,SDAH,2025-09-21 00:26:00,2025-09-21 00:28:00,2025-09-21 00:35:00,2025-09-21 00:31:00,57.7,RED,0.8,rain
12101,CNB,2025-09-13 10:32:00,2025-09-13 10:36:00,2025-09-13 10:39:00,2025-09-13 10:41:00,44.5,GREEN,0.93,storm
12525,MGS,2025-09-20 05:25:00,2025-09-20 05:30:00,2025-09-20 05:34:00,2025-09-20 05:50:00,50.9,GREEN,0.89,storm
12111,NDLS,2025-09-14 19:52:00,2025-09-14 19:54:00,2025-09-14 20:03:00,2025-09-14 20:14:00,34.2,YELLOW,0.99,rain
12193,SDAH,2025-09-08 01:18:00,2025-09-08 01:21:00,2025-09-08 01:24:00,2025-09-08 01:44:00,27.8,GREEN,0.92,storm
12043,ST,2025-09-05 13:38:00,2025-09-05 13:43:00,2025-09-05 13:46:00,2025-09-05 13:54:00,42.1,RED,0.92,clear
12688,CNB,2025-09-11 16:51:00,2025-09-11 16:52:00,2025-09-11 17:02:00,2025-09-11 17:11:00,45.2,YELLOW,1.0,clear
12569,PNBE,2025-09-03 21:05:00,2025-09-03 21:09:00,2025-09-03 21:12:00,2025-09-03 21:26:00,41.3,RED,0.94,fog
12829,BCT,2025-09-13 00:35:00,2025-09-13 00:37:00,2025-09-13 00:47:00,2025-09-13 00:52:00,48.3,GREEN,0.87,storm
12421,PNBE,2025-09-19 19:23:00,2025-09-19 19:24:00,2025-09-19 19:33:00,2025-09-19 19:33:00,44.8,GREEN,0.9,rain
12161,CNB,2025-09-06 17:06:00,2025-09-06 17:08:00,2025-09-06 17:14:00,2025-09-06 17:22:00,47.0,RED,0.91,storm
12778,ST,2025-09-12 09:59:00,2025-09-12 10:04:00,2025-09-12 10:12:00,2025-09-12 10:05:00,59.0,RED,0.91,clear
12961,HWH,2025-09-04 06:18:00,2025-09-04 06:22:00,2025-09-04 06:26:00,2025-09-04 06:32:00,31.1,GREEN,0.92,fog
12880,MGS,2025-09-18 19:19:00,2025-09-18 19:24:00,2025-09-18 19:27:00,2025-09-18 19:35:00,30.3,GREEN,0.96,clear
12410,NDLS,2025-09-05 01:25:00,2025-09-05 01:30:00,2025-09-05 01:33:00,2025-09-05 01:54:00,44.8,YELLOW,0.89,storm
12156,MGS,2025-09-06 22:19:00,2025-09-06 22:21:00,2025-09-06 22:31:00,2025-09-06 22:43:00,45.8,GREEN,0.86,clear
12947,ST,2025-09-02 15:54:00,2025-09-02 15:59:00,2025-09-02 16:09:00,2025-09-02 16:01:00,51.7,YELLOW,0.88,fog
12398,CNB,2025-09-07 07:10:00,2025-09-07 07:14:00,2025-09-07 07:22:00,2025-09-07 07:42:00,44.0,YELLOW,0.87,clear
12716,SDAH,2025-09-01 22:42:00,2025-09-01 22:45:00,2025-09-01 22:48:00,2025-09-01 23:01:00,41.1,RED,0.84,rain
12604,BCT,2025-09-12 13:58:00,2025-09-12 14:03:00,2025-09-12 14:06:00,2025-09-12 14:03:00,43.1,YELLOW,0.98,storm
12035,PNBE,2025-09-14 18:45:00,2025-09-14 18:49:00,2025-09-14 18:58:00,2025-09-14 18:55:00,43.0,YELLOW,0.9,rain
12474,ST,2025-09-16 18:44:00,2025-09-16 18:47:00,2025-09-16 18:54:00,2025-09-16 19:07:00,39.9,RED,0.94,fog
12658,CNB,2025-09-16 17:15:00,2025-09-16 17:19:00,2025-09-16 17:23:00,2025-09-16 17:21:00,47.5,YELLOW,0.96,storm
12600,NDLS,2025-09-12 22:32:00,2025-09-12 22:36:00,2025-09-12 22:42:00,2025-09-12 22:55:00,64.5,RED,0.99,storm
12668,NDLS,2025-09-06 01:25:00,2025-09-06 01:30:00,2025-09-06 01:39:00,2025-09-06 01:50:00,48.2,RED,0.92,fog
12655,BCT,2025-09-02 18:22:00,2025-09-02 18:25:00,2025-09-02 18:35:00,2025-09-02 18:23:00,48.3,YELLOW,0.86,fog
12789,ALD,2025-09-13 17:21:00,2025-09-13 17:23:00,2025-09-13 17:28:00,2025-09-13 17:52:00,34.0,GREEN,0.95,fog
